activity_id,opportunity_id,activity_type,activity_date
ACT000001,OPP00001,linkedin,2025-11-22
ACT000002,OPP00001,meeting_online,2025-02-01
ACT000003,OPP00001,call,2025-05-11
ACT000004,OPP00001,call,2025-06-25
ACT000005,OPP00001,call,2025-11-23
ACT000006,OPP00001,meeting_online,2025-04-15
ACT000007,OPP00002,call,2025-02-19
ACT000008,OPP00002,call,2025-01-22
ACT000009,OPP00003,call,2025-01-26
ACT000010,OPP00003,meeting_online,2025-02-02
ACT000011,OPP00004,call,2025-01-25
ACT000012,OPP00005,call,2025-03-05
ACT000013,OPP00006,linkedin,2025-02-13
ACT000014,OPP00006,meeting_f2f,2025-03-13
ACT000015,OPP00007,meeting_f2f,2025-01-05
ACT000016,OPP00008,meeting_online,2025-01-11
ACT000017,OPP00008,meeting_online,2025-02-02
ACT000018,OPP00008,meeting_online,2025-01-21
ACT000019,OPP00008,call,2025-01-07
ACT000020,OPP00008,call,2025-02-08
ACT000021,OPP00009,meeting_f2f,2025-04-03
ACT000022,OPP00009,meeting_online,2025-05-13
ACT000023,OPP00009,meeting_online,2025-05-03
ACT000024,OPP00010,linkedin,2025-01-22
ACT000025,OPP00010,call,2025-02-16
ACT000026,OPP00011,call,2025-01-28
ACT000027,OPP00011,call,2025-03-13
ACT000028,OPP00011,meeting_online,2025-03-02
ACT000029,OPP00011,meeting_online,2025-02-25
ACT000030,OPP00012,meeting_f2f,2025-03-10
ACT000031,OPP00012,linkedin,2025-03-22
ACT000032,OPP00013,call,2025-03-27
ACT000033,OPP00013,meeting_online,2025-04-03
ACT000034,OPP00013,call,2025-04-03
ACT000035,OPP00014,call,2025-02-06
ACT000036,OPP00014,call,2025-02-16
ACT000037,OPP00014,meeting_online,2025-02-05
ACT000038,OPP00014,call,2025-05-11
ACT000039,OPP00014,call,2025-04-06
ACT000040,OPP00014,linkedin,2025-03-09
ACT000041,OPP00015,call,2025-03-11
ACT000042,OPP00015,meeting_f2f,2025-05-05
ACT000043,OPP00016,meeting_online,2025-02-22
ACT000044,OPP00016,call,2025-01-25
ACT000045,OPP00016,call,2025-02-12
ACT000046,OPP00016,meeting_f2f,2025-02-17
ACT000047,OPP00017,meeting_online,2025-02-13
ACT000048,OPP00017,call,2025-01-06
ACT000049,OPP00017,linkedin,2025-02-25
ACT000050,OPP00017,call,2025-01-10
ACT000051,OPP00017,call,2025-01-19
ACT000052,OPP00017,linkedin,2025-03-14
ACT000053,OPP00018,call,2025-03-14
ACT000054,OPP00018,linkedin,2025-03-07
ACT000055,OPP00018,meeting_online,2025-03-10
ACT000056,OPP00019,linkedin,2025-02-23
ACT000057,OPP00020,meeting_online,2025-03-25
ACT000058,OPP00020,call,2025-02-04
ACT000059,OPP00021,linkedin,2025-08-01
ACT000060,OPP00024,meeting_f2f,2025-03-14
ACT000061,OPP00025,linkedin,2025-02-03
ACT000062,OPP00025,call,2025-02-05
ACT000063,OPP00025,call,2025-02-14
ACT000064,OPP00025,call,2025-02-15
ACT000065,OPP00026,linkedin,2025-02-17
ACT000066,OPP00026,call,2025-03-03
ACT000067,OPP00026,call,2025-02-06
ACT000068,OPP00026,meeting_f2f,2025-02-23
ACT000069,OPP00027,call,2025-03-21
ACT000070,OPP00027,call,2025-01-28
ACT000071,OPP00027,call,2025-02-22
ACT000072,OPP00027,call,2025-02-11
ACT000073,OPP00027,meeting_f2f,2025-03-14
ACT000074,OPP00027,call,2025-05-01
ACT000075,OPP00028,linkedin,2025-03-13
ACT000076,OPP00029,meeting_online,2025-01-16
ACT000077,OPP00029,call,2025-01-16
ACT000078,OPP00029,meeting_f2f,2025-01-23
ACT000079,OPP00029,meeting_online,2025-03-18
ACT000080,OPP00029,linkedin,2025-01-07
ACT000081,OPP00030,call,2025-04-30
ACT000082,OPP00030,linkedin,2025-04-28
ACT000083,OPP00030,call,2025-02-10
ACT000084,OPP00030,meeting_f2f,2025-01-17
ACT000085,OPP00030,call,2025-04-22
ACT000086,OPP00030,call,2025-05-21
ACT000087,OPP00031,linkedin,2025-01-10
ACT000088,OPP00031,meeting_f2f,2025-01-10
ACT000089,OPP00032,meeting_online,2025-02-17
ACT000090,OPP00032,meeting_online,2025-04-22
ACT000091,OPP00033,meeting_f2f,2025-01-07
ACT000092,OPP00034,call,2025-01-28
ACT000093,OPP00034,call,2025-01-27
ACT000094,OPP00034,meeting_online,2025-03-03
ACT000095,OPP00034,call,2025-02-28
ACT000096,OPP00036,call,2025-03-05
ACT000097,OPP00036,call,2025-01-14
ACT000098,OPP00036,call,2025-03-28
ACT000099,OPP00036,meeting_online,2025-04-02
ACT000100,OPP00036,meeting_online,2025-02-23
ACT000101,OPP00036,meeting_online,2025-01-24
ACT000102,OPP00037,meeting_f2f,2025-03-05
ACT000103,OPP00038,call,2025-01-17
ACT000104,OPP00038,call,2025-02-21
ACT000105,OPP00039,call,2025-03-26
ACT000106,OPP00040,meeting_f2f,2025-01-25
ACT000107,OPP00040,meeting_online,2025-01-26
ACT000108,OPP00041,call,2025-02-05
ACT000109,OPP00041,meeting_online,2025-02-25
ACT000110,OPP00041,call,2025-01-06
ACT000111,OPP00041,meeting_online,2025-02-11
ACT000112,OPP00042,linkedin,2025-05-04
ACT000113,OPP00042,call,2025-03-17
ACT000114,OPP00042,meeting_f2f,2025-03-02
ACT000115,OPP00042,call,2025-04-25
ACT000116,OPP00042,meeting_online,2025-03-15
ACT000117,OPP00042,call,2025-03-28
ACT000118,OPP00043,meeting_online,2025-01-15
ACT000119,OPP00044,call,2025-02-21
ACT000120,OPP00044,call,2025-01-21
ACT000121,OPP00044,call,2025-01-18
ACT000122,OPP00044,call,2025-03-02
ACT000123,OPP00044,linkedin,2025-01-11
ACT000124,OPP00046,call,2025-03-01
ACT000125,OPP00046,meeting_online,2025-03-16
ACT000126,OPP00046,meeting_f2f,2025-03-28
ACT000127,OPP00046,call,2025-03-16
ACT000128,OPP00047,call,2025-02-01
ACT000129,OPP00047,meeting_online,2025-02-17
ACT000130,OPP00047,call,2025-03-02
ACT000131,OPP00047,meeting_f2f,2025-02-16
ACT000132,OPP00047,call,2025-02-25
ACT000133,OPP00048,call,2025-01-12
ACT000134,OPP00048,meeting_f2f,2025-01-31
ACT000135,OPP00048,call,2025-01-24
ACT000136,OPP00048,linkedin,2025-02-03
ACT000137,OPP00049,call,2025-01-06
ACT000138,OPP00050,call,2025-03-31
ACT000139,OPP00050,call,2025-04-01
ACT000140,OPP00050,linkedin,2025-02-26
ACT000141,OPP00050,call,2025-02-10
ACT000142,OPP00050,call,2025-03-07
ACT000143,OPP00051,call,2025-02-26
ACT000144,OPP00051,call,2025-02-21
ACT000145,OPP00051,call,2025-02-22
ACT000146,OPP00052,meeting_online,2025-04-15
ACT000147,OPP00053,meeting_online,2025-04-10
ACT000148,OPP00053,,2025-04-05
ACT000149,OPP00053,linkedin,2025-01-18
ACT000150,OPP00053,meeting_online,2025-04-12
ACT000151,OPP00053,linkedin,2025-05-03
ACT000152,OPP00053,meeting_f2f,2025-04-27
ACT000153,OPP00054,call,2025-02-10
ACT000154,OPP00055,call,2025-03-20
ACT000155,OPP00055,call,2025-01-11
ACT000156,OPP00055,call,2025-01-24
ACT000157,OPP00056,meeting_f2f,2025-01-30
ACT000158,OPP00056,linkedin,2025-01-24
ACT000159,OPP00056,meeting_online,2025-03-03
ACT000160,OPP00056,call,2025-03-01
ACT000161,OPP00056,call,2025-02-10
ACT000162,OPP00057,call,2025-01-29
ACT000163,OPP00057,call,2025-01-05
ACT000164,OPP00057,meeting_f2f,2025-01-20
ACT000165,OPP00059,meeting_f2f,2025-01-31
ACT000166,OPP00059,meeting_online,2025-02-06
ACT000167,OPP00059,linkedin,2025-02-05
ACT000168,OPP00059,meeting_online,2025-02-18
ACT000169,OPP00060,meeting_online,2025-03-30
ACT000170,OPP00060,call,2025-03-08
ACT000171,OPP00061,call,2025-01-17
ACT000172,OPP00062,call,2025-03-09
ACT000173,OPP00062,call,2025-03-11
ACT000174,OPP00062,call,2025-03-13
ACT000175,OPP00062,call,2025-03-27
ACT000176,OPP00062,call,2025-04-08
ACT000177,OPP00062,meeting_online,2025-03-13
ACT000178,OPP00063,call,2025-04-26
ACT000179,OPP00063,call,2025-03-08
ACT000180,OPP00063,call,2025-04-06
ACT000181,OPP00063,,2025-04-30
ACT000182,OPP00063,call,2025-02-10
ACT000183,OPP00064,meeting_f2f,2025-02-24
ACT000184,OPP00064,linkedin,2025-01-26
ACT000185,OPP00064,call,2025-02-13
ACT000186,OPP00064,call,2025-02-12
ACT000187,OPP00066,call,2025-03-02
ACT000188,OPP00067,meeting_f2f,2025-01-25
ACT000189,OPP00067,meeting_f2f,2025-02-07
ACT000190,OPP00068,meeting_online,2025-01-24
ACT000191,OPP00068,meeting_online,2025-02-21
ACT000192,OPP00068,meeting_online,2025-01-23
ACT000193,OPP00069,call,2025-02-11
ACT000194,OPP00069,call,2025-02-06
ACT000195,OPP00070,call,2025-02-03
ACT000196,OPP00070,call,2025-02-16
ACT000197,OPP00071,call,2025-01-22
ACT000198,OPP00071,call,2025-01-07
ACT000199,OPP00071,linkedin,2025-01-13
ACT000200,OPP00071,call,2025-02-07
ACT000201,OPP00071,call,2025-01-28
ACT000202,OPP00071,meeting_f2f,2025-01-24
ACT000203,OPP00072,call,2025-04-08
ACT000204,OPP00072,call,2025-04-12
ACT000205,OPP00072,call,2025-02-06
ACT000206,OPP00072,call,2025-04-22
ACT000207,OPP00073,call,2025-02-06
ACT000208,OPP00073,call,2025-04-06
ACT000209,OPP00074,call,2025-02-14
ACT000210,OPP00074,meeting_f2f,2025-01-16
ACT000211,OPP00075,call,2025-03-17
ACT000212,OPP00075,meeting_online,2025-03-05
ACT000213,OPP00076,call,2025-05-09
ACT000214,OPP00076,linkedin,2025-03-04
ACT000215,OPP00076,call,2025-02-04
ACT000216,OPP00076,call,2025-03-01
ACT000217,OPP00076,call,2025-03-03
ACT000218,OPP00077,linkedin,2025-04-03
ACT000219,OPP00077,call,2025-02-10
ACT000220,OPP00077,meeting_online,2025-01-27
ACT000221,OPP00077,linkedin,2025-03-22
ACT000222,OPP00077,meeting_online,2025-02-04
ACT000223,OPP00078,call,2025-05-01
ACT000224,OPP00078,call,2025-02-18
ACT000225,OPP00078,,2025-02-18
ACT000226,OPP00078,call,2025-02-13
ACT000227,OPP00079,meeting_online,2025-02-09
ACT000228,OPP00079,meeting_f2f,2025-02-20
ACT000229,OPP00079,linkedin,2025-02-28
ACT000230,OPP00079,meeting_online,2025-03-12
ACT000231,OPP00079,call,2025-03-09
ACT000232,OPP00079,call,2025-02-03
ACT000233,OPP00080,meeting_f2f,2025-05-27
ACT000234,OPP00080,meeting_f2f,2025-02-02
ACT000235,OPP00080,call,2025-02-14
ACT000236,OPP00080,call,2025-02-01
ACT000237,OPP00080,linkedin,2025-02-28
ACT000238,OPP00081,meeting_online,2025-02-28
ACT000239,OPP00081,linkedin,2025-03-05
ACT000240,OPP00081,call,2025-02-27
ACT000241,OPP00081,meeting_online,2025-02-03
ACT000242,OPP00081,meeting_online,2025-03-01
ACT000243,OPP00081,meeting_f2f,2025-03-19
ACT000244,OPP00082,meeting_online,2025-02-08
ACT000245,OPP00082,call,2025-03-18
ACT000246,OPP00082,meeting_online,2025-03-15
ACT000247,OPP00083,meeting_f2f,2025-03-18
ACT000248,OPP00083,call,2025-02-21
ACT000249,OPP00083,call,2025-03-17
ACT000250,OPP00084,meeting_f2f,2025-04-07
ACT000251,OPP00084,meeting_online,2025-04-02
ACT000252,OPP00085,meeting_f2f,2025-02-11
ACT000253,OPP00085,call,2025-03-10
ACT000254,OPP00085,call,2025-02-28
ACT000255,OPP00085,call,2025-03-09
ACT000256,OPP00086,call,2025-01-03
ACT000257,OPP00086,call,2025-01-05
ACT000258,OPP00087,call,2025-01-01
ACT000259,OPP00087,linkedin,2025-03-03
ACT000260,OPP00087,call,2025-01-18
ACT000261,OPP00088,linkedin,2025-02-05
ACT000262,OPP00088,call,2025-02-09
ACT000263,OPP00089,meeting_online,2025-03-13
ACT000264,OPP00090,meeting_f2f,2025-04-23
ACT000265,OPP00090,call,2025-05-05
ACT000266,OPP00090,call,2025-05-02
ACT000267,OPP00091,meeting_online,2025-03-30
ACT000268,OPP00092,meeting_f2f,2025-01-24
ACT000269,OPP00092,meeting_online,2025-03-07
ACT000270,OPP00092,call,2025-02-19
ACT000271,OPP00092,call,2025-02-22
ACT000272,OPP00093,linkedin,2025-01-21
ACT000273,OPP00093,call,2025-03-01
ACT000274,OPP00094,call,2025-02-28
ACT000275,OPP00094,meeting_f2f,2025-01-13
ACT000276,OPP00094,call,2025-02-13
ACT000277,OPP00095,call,2025-01-21
ACT000278,OPP00095,call,2025-02-08
ACT000279,OPP00096,call,2025-02-03
ACT000280,OPP00097,meeting_online,2025-02-11
ACT000281,OPP00097,call,2025-02-09
ACT000282,OPP00097,call,2025-02-20
ACT000283,OPP00098,call,2025-01-25
ACT000284,OPP00098,meeting_online,2025-01-27
ACT000285,OPP00098,call,2025-01-14
ACT000286,OPP00099,call,2025-02-09
ACT000287,OPP00099,linkedin,2025-05-06
ACT000288,OPP00100,linkedin,2025-02-06
ACT000289,OPP00100,meeting_online,2025-01-27
ACT000290,OPP00100,meeting_f2f,2025-01-29
ACT000291,OPP00100,linkedin,2025-02-10
ACT000292,OPP00100,linkedin,2025-02-02
ACT000293,OPP00100,call,2025-01-31
ACT000294,OPP00101,linkedin,2025-01-27
ACT000295,OPP00102,call,2025-01-29
ACT000296,OPP00102,meeting_online,2025-03-05
ACT000297,OPP00104,linkedin,2025-02-15
ACT000298,OPP00104,call,2025-01-21
ACT000299,OPP00104,call,2025-01-16
ACT000300,OPP00105,linkedin,2025-01-01
ACT000301,OPP00105,call,2025-03-25
ACT000302,OPP00106,meeting_online,2025-02-19
ACT000303,OPP00107,call,2025-01-25
ACT000304,OPP00108,call,2025-02-22
ACT000305,OPP00109,linkedin,2025-03-30
ACT000306,OPP00109,meeting_f2f,2025-02-05
ACT000307,OPP00109,meeting_online,2025-04-18
ACT000308,OPP00109,meeting_online,2025-03-16
ACT000309,OPP00110,call,2025-02-23
ACT000310,OPP00110,call,2025-01-29
ACT000311,OPP00110,call,2025-02-19
ACT000312,OPP00110,call,2025-02-15
ACT000313,OPP00110,linkedin,2025-03-08
ACT000314,OPP00111,call,2025-02-18
ACT000315,OPP00113,call,2025-01-26
ACT000316,OPP00113,call,2025-01-17
ACT000317,OPP00114,linkedin,2025-01-28
ACT000318,OPP00114,call,2025-01-28
ACT000319,OPP00114,call,2025-01-28
ACT000320,OPP00114,call,2025-01-28
ACT000321,OPP00115,call,2025-03-22
ACT000322,OPP00115,call,2025-02-17
ACT000323,OPP00115,call,2025-02-10
ACT000324,OPP00116,call,2025-02-24
ACT000325,OPP00116,meeting_online,2025-03-14
ACT000326,OPP00116,linkedin,2025-03-09
ACT000327,OPP00117,call,2025-03-20
ACT000328,OPP00117,call,2025-02-22
ACT000329,OPP00118,meeting_f2f,2025-03-10
ACT000330,OPP00119,linkedin,2025-01-05
ACT000331,OPP00119,meeting_online,2025-02-08
ACT000332,OPP00120,call,2025-05-03
ACT000333,OPP00121,call,2025-01-23
ACT000334,OPP00121,linkedin,2025-02-06
ACT000335,OPP00122,meeting_online,2025-01-16
ACT000336,OPP00122,call,2025-02-12
ACT000337,OPP00122,meeting_online,2025-01-28
ACT000338,OPP00123,call,2025-01-15
ACT000339,OPP00124,meeting_online,2025-03-23
ACT000340,OPP00124,call,2025-02-28
ACT000341,OPP00124,call,2025-02-12
ACT000342,OPP00124,linkedin,2025-02-21
ACT000343,OPP00124,meeting_online,2025-01-30
ACT000344,OPP00124,call,2025-01-12
ACT000345,OPP00125,call,2025-04-05
ACT000346,OPP00125,call,2025-01-11
ACT000347,OPP00126,call,2025-02-04
ACT000348,OPP00127,call,2025-02-03
ACT000349,OPP00127,call,2025-02-05
ACT000350,OPP00128,call,2025-02-22
ACT000351,OPP00128,meeting_online,2025-03-29
ACT000352,OPP00129,meeting_online,2025-02-09
ACT000353,OPP00129,call,2025-01-26
ACT000354,OPP00129,call,2025-03-23
ACT000355,OPP00130,meeting_online,2025-03-31
ACT000356,OPP00132,call,2025-01-29
ACT000357,OPP00132,call,2025-02-09
ACT000358,OPP00133,meeting_online,2025-04-14
ACT000359,OPP00133,call,2025-02-24
ACT000360,OPP00134,meeting_online,2025-02-11
ACT000361,OPP00134,meeting_online,2025-03-06
ACT000362,OPP00135,call,2025-01-12
ACT000363,OPP00135,meeting_online,2025-01-11
ACT000364,OPP00136,call,2025-04-08
ACT000365,OPP00136,meeting_online,2025-03-24
ACT000366,OPP00137,call,2025-01-30
ACT000367,OPP00137,meeting_f2f,2025-02-04
ACT000368,OPP00137,call,2025-02-25
ACT000369,OPP00137,call,2025-02-10
ACT000370,OPP00139,linkedin,2025-01-09
ACT000371,OPP00139,call,2025-02-15
ACT000372,OPP00139,meeting_online,2025-03-03
ACT000373,OPP00140,call,2025-03-07
ACT000374,OPP00140,linkedin,2025-03-17
ACT000375,OPP00140,meeting_online,2025-01-27
ACT000376,OPP00140,call,2025-02-05
ACT000377,OPP00142,call,2025-01-04
ACT000378,OPP00143,meeting_online,2025-01-24
ACT000379,OPP00143,meeting_online,2025-05-08
ACT000380,OPP00144,call,2025-03-03
ACT000381,OPP00145,meeting_f2f,2025-01-12
ACT000382,OPP00145,call,2025-02-26
ACT000383,OPP00145,meeting_f2f,2025-01-16
ACT000384,OPP00146,call,2025-02-09
ACT000385,OPP00146,call,2025-03-08
ACT000386,OPP00147,meeting_f2f,2025-01-27
ACT000387,OPP00147,call,2025-01-14
ACT000388,OPP00148,call,2025-02-27
ACT000389,OPP00148,call,2025-02-28
ACT000390,OPP00148,meeting_online,2025-02-07
ACT000391,OPP00149,call,2025-01-08
ACT000392,OPP00149,call,2025-01-18
ACT000393,OPP00150,call,2025-01-30
ACT000394,OPP00150,linkedin,2025-01-08
ACT000395,OPP00152,call,2025-03-15
ACT000396,OPP00152,call,2025-03-04
ACT000397,OPP00152,call,2025-03-19
ACT000398,OPP00153,call,2025-01-16
ACT000399,OPP00153,meeting_online,2025-02-04
ACT000400,OPP00154,call,2025-04-03
ACT000401,OPP00154,meeting_online,2025-02-02
ACT000402,OPP00155,call,2025-02-06
ACT000403,OPP00155,call,2025-03-17
ACT000404,OPP00155,call,2025-03-04
ACT000405,OPP00155,meeting_online,2025-01-31
ACT000406,OPP00156,call,2025-02-01
ACT000407,OPP00156,call,2025-03-10
ACT000408,OPP00156,meeting_online,2025-01-28
ACT000409,OPP00157,call,2025-03-18
ACT000410,OPP00158,meeting_f2f,2025-03-11
ACT000411,OPP00159,linkedin,2025-02-08
ACT000412,OPP00160,linkedin,2025-04-20
ACT000413,OPP00161,call,2025-02-06
ACT000414,OPP00163,call,2025-02-10
ACT000415,OPP00164,call,2025-02-22
ACT000416,OPP00165,call,2025-04-11
ACT000417,OPP00165,call,2025-03-10
ACT000418,OPP00165,call,2025-04-17
ACT000419,OPP00165,meeting_online,2025-02-11
ACT000420,OPP00165,meeting_online,2025-03-25
ACT000421,OPP00165,call,2025-03-23
ACT000422,OPP00166,meeting_online,2025-03-02
ACT000423,OPP00166,call,2025-01-22
ACT000424,OPP00168,call,2025-01-23
ACT000425,OPP00168,call,2025-02-05
ACT000426,OPP00169,call,2025-06-01
ACT000427,OPP00170,call,2025-01-12
ACT000428,OPP00170,meeting_online,2025-01-23
ACT000429,OPP00171,meeting_online,2025-05-07
ACT000430,OPP00171,meeting_online,2025-02-18
ACT000431,OPP00171,meeting_online,2025-05-04
ACT000432,OPP00172,meeting_online,2025-02-06
ACT000433,OPP00172,call,2025-02-06
ACT000434,OPP00173,call,2025-01-28
ACT000435,OPP00174,call,2025-01-17
ACT000436,OPP00174,call,2025-01-21
ACT000437,OPP00174,call,2025-01-26
ACT000438,OPP00174,meeting_f2f,2025-01-31
ACT000439,OPP00175,call,2025-08-01
ACT000440,OPP00175,call,2025-08-01
ACT000441,OPP00176,meeting_f2f,2025-02-28
ACT000442,OPP00176,call,2025-03-09
ACT000443,OPP00176,call,2025-03-21
ACT000444,OPP00176,call,2025-03-23
ACT000445,OPP00176,meeting_f2f,2025-03-05
ACT000446,OPP00178,call,2025-02-07
ACT000447,OPP00180,meeting_online,2025-06-18
ACT000448,OPP00180,linkedin,2025-06-06
ACT000449,OPP00181,call,2025-03-05
ACT000450,OPP00182,meeting_online,2025-03-19
ACT000451,OPP00182,meeting_online,2025-02-19
ACT000452,OPP00183,call,2025-04-09
ACT000453,OPP00183,meeting_online,2025-02-11
ACT000454,OPP00184,call,2025-04-05
ACT000455,OPP00184,call,2025-02-05
ACT000456,OPP00185,call,2025-01-02
ACT000457,OPP00185,linkedin,2025-03-15
ACT000458,OPP00185,meeting_online,2025-03-09
ACT000459,OPP00186,meeting_online,2025-01-29
ACT000460,OPP00187,meeting_online,2025-03-07
ACT000461,OPP00188,call,2025-02-21
ACT000462,OPP00188,linkedin,2025-02-24
ACT000463,OPP00188,meeting_online,2025-03-26
ACT000464,OPP00189,call,2025-03-09
ACT000465,OPP00191,meeting_online,2025-03-14
ACT000466,OPP00191,meeting_online,2025-05-01
ACT000467,OPP00192,call,2025-02-05
ACT000468,OPP00192,linkedin,2025-02-10
ACT000469,OPP00192,call,2025-04-24
ACT000470,OPP00192,call,2025-02-07
ACT000471,OPP00193,linkedin,2025-02-26
ACT000472,OPP00193,call,2025-02-20
ACT000473,OPP00194,linkedin,2025-04-02
ACT000474,OPP00195,meeting_f2f,2025-02-11
ACT000475,OPP00195,linkedin,2025-01-30
ACT000476,OPP00196,call,2025-01-23
ACT000477,OPP00196,meeting_online,2025-02-14
ACT000478,OPP00197,meeting_online,2025-05-14
ACT000479,OPP00197,meeting_online,2025-03-16
ACT000480,OPP00197,linkedin,2025-02-19
ACT000481,OPP00197,linkedin,2025-01-27
ACT000482,OPP00198,meeting_f2f,2025-01-20
ACT000483,OPP00198,linkedin,2025-03-29
ACT000484,OPP00199,meeting_online,2025-03-28
ACT000485,OPP00199,meeting_online,2025-01-24
ACT000486,OPP00200,call,2025-02-07
ACT000487,OPP00203,meeting_online,2025-03-01
ACT000488,OPP00203,meeting_online,2025-02-09
ACT000489,OPP00203,call,2025-02-10
ACT000490,OPP00204,meeting_online,2025-01-17
ACT000491,OPP00204,call,2025-02-08
ACT000492,OPP00204,meeting_f2f,2025-01-21
ACT000493,OPP00205,linkedin,2025-01-15
ACT000494,OPP00205,meeting_online,2025-02-11
ACT000495,OPP00205,meeting_online,2025-02-20
ACT000496,OPP00205,call,2025-02-12
ACT000497,OPP00206,call,2025-02-12
ACT000498,OPP00206,meeting_online,2025-02-09
ACT000499,OPP00206,meeting_online,2025-02-08
ACT000500,OPP00206,call,2025-02-02
ACT000501,OPP00206,linkedin,2025-01-28
ACT000502,OPP00207,call,2025-01-22
ACT000503,OPP00208,call,2025-02-08
ACT000504,OPP00208,call,2025-01-14
ACT000505,OPP00208,meeting_online,2025-01-20
ACT000506,OPP00210,call,2025-01-28
ACT000507,OPP00210,meeting_f2f,2025-01-20
ACT000508,OPP00210,meeting_online,2025-03-20
ACT000509,OPP00211,call,2025-02-25
ACT000510,OPP00211,call,2025-04-26
ACT000511,OPP00211,linkedin,2025-03-06
ACT000512,OPP00212,call,2025-03-03
ACT000513,OPP00212,call,2025-01-29
ACT000514,OPP00212,call,2025-01-08
ACT000515,OPP00215,,2025-01-24
ACT000516,OPP00215,call,2025-02-01
ACT000517,OPP00216,linkedin,2025-02-05
ACT000518,OPP00216,meeting_f2f,2025-01-02
ACT000519,OPP00217,linkedin,2025-04-14
ACT000520,OPP00217,meeting_f2f,2025-03-14
ACT000521,OPP00218,call,2025-02-12
ACT000522,OPP00218,call,2025-02-13
ACT000523,OPP00219,meeting_f2f,2025-03-21
ACT000524,OPP00219,call,2025-03-28
ACT000525,OPP00219,call,2025-02-18
ACT000526,OPP00222,linkedin,2025-02-01
ACT000527,OPP00223,call,2025-02-27
ACT000528,OPP00223,call,2025-04-08
ACT000529,OPP00223,call,2025-04-24
ACT000530,OPP00224,call,2025-03-07
ACT000531,OPP00225,call,2025-03-10
ACT000532,OPP00225,meeting_online,2025-03-03
ACT000533,OPP00225,call,2025-04-02
ACT000534,OPP00225,meeting_online,2025-01-27
ACT000535,OPP00226,linkedin,2025-02-17
ACT000536,OPP00226,call,2025-02-27
ACT000537,OPP00226,call,2025-02-04
ACT000538,OPP00226,meeting_online,2025-02-14
ACT000539,OPP00227,call,2025-01-11
