opportunity_id,created_date,closed_date,arr,status,salesperson_id,source,type,account_id
OPP00001,25/01/2025,12/04/2025,18500,lost,SP001,marketing,upsell,ACC0086
OPP00002,2025-01-16,2025-03-06,30000,lost,SP001,cold prospection,new business,ACC0014
OPP00003,2025-01-19,2025-02-06,11500,won,SP001,marketing,upsell,ACC0011
OPP00004,2025-01-05,2025-04-20,9000,qualified,SP001,marketing,new business,ACC0112
OPP00005,2025-01-31,2025-03-07,31000,won,SP001,cold prospection,new business,ACC0086
OPP00006,2025-01-22,2025-05-03,17500,qualified,SP003,cold prospection,new business,ACC0057
OPP00007,2025-01-01,2025-02-18,4000,created,SP003,cold prospection,new business,ACC0089
OPP00008,2025-01-03,2025-02-22,9500,created,SP001,marketing,new business,ACC0052
OPP00009,2025-01-24,2025-06-08,9000,qualified,SP003,cold prospection,new business,ACC0090
OPP00010,2025-01-22,2025-04-26,10500,qualified,SP002,marketing,new business,ACC0053
OPP00011,2025-01-21,2025-04-09,15500,qualified,SP001,cold prospection,new business,ACC0008
OPP00012,2025-01-18,2025-03-29,4000,qualified,SP002,cold prospection,upsell,ACC0017
OPP00013,2025-01-26,2025-04-25,4000,created,SP003,referral,upsell,ACC0013
OPP00014,2025-01-28,2025-05-04,7500,qualified,SP001,cold prospection,new business,ACC0024
OPP00015,2025-01-13,2025-05-13,6000,created,SP001,marketing,new business,ACC0059
OPP00016,2025-01-24,2025-02-22,15500,won,SP003,cold prospection,new business,ACC0112
OPP00017,2025-01-02,2025-03-03,3500,created,SP003,marketing,new business,ACC0086
OPP00018,2025-01-28,2025-04-23,2500,created,SP003,marketing,new business,ACC0024
OPP00019,2025-01-22,2025-04-24,15000,created,SP001,marketing,new business,ACC0067
OPP00020,2025-01-14,2025-03-30,12500,qualified,SP003,event,new business,ACC0091
OPP00021,08/01/2025,20/04/2025,7500,created,SP002,event,new business,ACC0067
OPP00023,2025-01-07,2025-03-12,8000,created,SP003,cold prospection,upsell,ACC0044
OPP00024,2025-01-06,2025-04-04,14000,won,SP002,event,upsell,ACC0086
OPP00025,2025-01-17,2025-03-06,7000,lost,SP001,cold prospection,upsell,ACC0112
OPP00026,2025-01-29,2025-03-03,12500,created,SP001,cold prospection,new business,ACC0044
OPP00027,2025-01-07,2025-04-18,8000,created,SP003,cold prospection,new business,ACC0052
OPP00028,2025-01-30,2025-03-16,11000,won,SP001,cold prospection,new business,ACC0011
OPP00029,2025-01-05,2025-03-22,6500,created,SP003,cold prospection,new business,ACC0044
OPP00030,2025-01-03,2025-05-24,30500,qualified,SP003,marketing,new business,ACC0020
OPP00031,2025-01-02,2025-01-17,13000,lost,SP002,cold prospection,upsell,ACC0057
OPP00032,2025-01-08,2025-04-24,8000,qualified,SP003,marketing,new business,ACC0013
OPP00033,2025-01-05,2025-02-06,20500,lost,SP001,cold prospection,upsell,ACC0024
OPP00034,2025-01-24,2025-03-06,6500,lost,SP002,event,new business,ACC0068
OPP00036,2025-01-12,2025-04-26,2000,created,SP002,event,new business,ACC0042
OPP00037,2025-01-31,2025-04-02,6500,won,SP002,event,new business,ACC0053
OPP00038,2025-01-11,2025-02-23,14500,lost,SP001,referral,new business,ACC0014
OPP00039,2025-01-09,2025-03-29,19500,qualified,SP001,,new business,ACC0013
OPP00040,2025-01-17,2025-02-20,14500,lost,SP001,marketing,new business,ACC0059
OPP00041,2025-01-01,2025-04-06,12000,won,SP003,marketing,new business,ACC0086
OPP00042,2025-01-31,2025-05-05,11000,won,SP003,event,upsell,ACC0052
OPP00043,2025-01-10,2025-03-02,6000,won,SP003,cold prospection,new business,ACC0047
OPP00044,2025-01-05,2025-03-04,8500,won,SP001,referral,new business,ACC0068
OPP00045,2025-01-20,2025-06-10,7000,qualified,SP003,marketing,new business,ACC0047
OPP00046,2025-01-19,2025-04-20,20500,qualified,SP003,marketing,new business,ACC0107
OPP00047,2025-01-29,2025-03-16,15500,won,SP003,marketing,new business,ACC0024
OPP00048,2025-01-11,2025-02-18,5000,won,SP001,cold prospection,upsell,ACC0043
OPP00049,2025-01-02,2025-01-21,15500,won,SP001,referral,new business,ACC0074
OPP00050,2025-01-19,2025-04-02,10500,won,SP001,cold prospection,new business,ACC0120
OPP00051,2025-01-23,2025-03-02,9000,lost,SP001,referral,new business,ACC0013
OPP00052,2025-01-17,2025-06-09,13500,qualified,SP002,marketing,new business,ACC0008
OPP00053,2025-01-17,2025-05-13,19500,created,SP003,event,new business,ACC0095
OPP00054,2025-01-17,2025-03-13,21500,qualified,SP002,cold prospection,new business,ACC0089
OPP00055,2025-01-08,2025-03-25,8000,lost,SP003,cold prospection,new business,ACC0045
OPP00056,2025-01-15,2025-03-10,6000,created,SP001,cold prospection,upsell,ACC0120
OPP00057,2025-01-05,2025-02-11,15500,won,SP001,cold prospection,new business,ACC0059
OPP00058,2025-01-18,2025-05-24,13500,created,SP002,marketing,upsell,ACC0068
OPP00059,2025-01-23,2025-02-27,11000,qualified,SP001,cold prospection,new business,ACC0090
OPP00060,2025-01-29,2025-04-18,11500,won,SP002,referral,upsell,ACC0086
OPP00061,2025-01-16,2025-02-23,6000,qualified,SP001,event,new business,ACC0045
OPP00062,2025-01-24,2025-04-23,6500,lost,SP001,referral,new business,ACC0071
OPP00063,2025-01-19,2025-05-01,12500,created,SP003,cold prospection,upsell,ACC0112
OPP00064,2025-01-09,2025-03-11,15500,created,SP002,cold prospection,upsell,ACC0048
OPP00066,2025-01-31,2025-05-04,22500,won,SP002,cold prospection,new business,ACC0042
OPP00067,2025-01-08,2025-02-17,16000,won,SP001,marketing,new business,ACC0003
OPP00068,2025-01-19,2025-03-17,9000,won,SP001,marketing,new business,ACC0071
OPP00069,2025-01-24,2025-02-23,16000,lost,SP003,cold prospection,upsell,ACC0014
OPP00070,2025-01-01,2025-02-28,30500,won,SP002,event,new business,ACC0090
OPP00071,2025-01-03,2025-02-13,12500,lost,SP003,event,new business,ACC0117
OPP00072,2025-01-28,2025-04-20,30500,lost,SP003,cold prospection,upsell,ACC0095
OPP00073,2025-01-14,2025-04-26,9500,created,SP006,event,upsell,ACC0050
OPP00074,2025-01-04,2025-03-13,13500,won,SP005,marketing,new business,ACC0050
OPP00075,2025-01-24,2025-05-27,14500,created,SP006,marketing,upsell,ACC0085
OPP00076,2025-01-27,2025-06-05,3000,created,SP006,cold prospection,upsell,ACC0081
